Algorithm,Fidelity,Circuit width,Number of 2Q gates
Quantum Fourier Transform (1),1.0,5,40
Quantum Fourier Transform (1),1.0,5,40
Quantum Fourier Transform (1),1.0,6,60
Quantum Fourier Transform (1),1.0,6,60
Quantum Fourier Transform (1),1.0,6,60
Quantum Fourier Transform (1),1.0,7,84
Quantum Fourier Transform (1),1.0,7,84
Quantum Fourier Transform (1),1.0,7,84
Quantum Fourier Transform (1),1.0,8,112
Quantum Fourier Transform (1),1.0,8,112
Quantum Fourier Transform (1),1.0,8,112
Quantum Fourier Transform (1),0.9968,9,144
Quantum Fourier Transform (1),1.0,9,144
Quantum Fourier Transform (1),0.9944000000000001,9,144
Quantum Fourier Transform (1),0.9992000000000001,10,180
Quantum Fourier Transform (1),0.9956,10,180
Quantum Fourier Transform (1),0.9952000000000001,10,180
Quantum Fourier Transform (1),0.9984,11,220
Quantum Fourier Transform (1),0.9980000000000001,11,220
Quantum Fourier Transform (1),0.9992000000000001,11,220
Quantum Fourier Transform (1),1.0,12,264
Quantum Fourier Transform (1),0.9908,12,264
Quantum Fourier Transform (1),1.0,12,264
Quantum Fourier Transform (1),1.0,13,312
Quantum Fourier Transform (1),1.0,13,312
Quantum Fourier Transform (1),0.9956,13,312
Quantum Fourier Transform (1),1.0,14,364
Quantum Fourier Transform (1),1.0,14,364
Quantum Fourier Transform (1),0.944,14,364
Quantum Fourier Transform (1),1.0,15,420
Quantum Fourier Transform (1),1.0,15,420
Quantum Fourier Transform (1),1.0,15,420
Quantum Fourier Transform (1),1.0,16,480
Quantum Fourier Transform (1),1.0,16,480
Quantum Fourier Transform (1),1.0,17,544
Quantum Fourier Transform (1),1.0,17,544
Quantum Fourier Transform (1),1.0,17,544
Quantum Fourier Transform (1),1.0,18,612
Quantum Fourier Transform (1),1.0,18,612
Quantum Fourier Transform (1),1.0,21,840
Quantum Fourier Transform (1),0.9984,21,840
Quantum Fourier Transform (1),1.0,21,840
Quantum Fourier Transform (1),1.0,20,760
Quantum Fourier Transform (1),0.9996,20,760
Quantum Fourier Transform (1),0.9887999999999999,20,760
Quantum Fourier Transform (1),0.9972000000000001,22,924
Quantum Fourier Transform (1),1.0,22,924
Quantum Fourier Transform (1),1.0,22,924
Quantum Fourier Transform (1),1.0,23,1012
Quantum Fourier Transform (1),1.0,23,1012
Quantum Fourier Transform (1),1.0,23,1012
Quantum Fourier Transform (1),1.0,24,1104
Quantum Fourier Transform (1),1.0,24,1104
Quantum Fourier Transform (1),1.0,24,1104
Quantum Fourier Transform (1),1.0,25,1200
Quantum Fourier Transform (1),1.0,25,1200
Quantum Fourier Transform (1),0.9956,25,1200
Quantum Fourier Transform (1),1.0,26,1300
Quantum Fourier Transform (1),0.9828,26,1300
Quantum Fourier Transform (1),1.0,26,1300
Quantum Fourier Transform (1),1.0,27,1404
Quantum Fourier Transform (1),1.0,27,1404
Quantum Fourier Transform (1),1.0,27,1404
VQE Simulation (1),0.83868600412861,4,56
VQE Simulation (1),0.9341973420320966,4,56
VQE Simulation (1),0.8646201162278896,4,56
VQE Simulation (1),0.7980501414101547,6,272
VQE Simulation (1),0.7996099187438904,6,272
VQE Simulation (1),0.5554747241885478,6,272
VQE Simulation (1),0.7872455064831937,6,272
VQE Simulation (1),0.7968688778098033,6,272
VQE Simulation (1),0.5049381115262656,6,272
