,jobid,app_key,app_circuit_index,repetition_index,circuit_width,num_2q_gates,total_shots,observed_fidelity,simulated_fidelity
87,a61589c4-254d-46dc-b9e5-7c453b525da1,Benchmark Results - Phase Estimation - Qiskit,49,0,21,420,2500,1.0,1.0
88,8df16d71-cf79-48b2-8b8b-efd749095119,Benchmark Results - Phase Estimation - Qiskit,50,0,21,420,2500,1.0,1.0
89,9ed895a4-c47a-47b2-81c3-f55a8955fef8,Benchmark Results - Phase Estimation - Qiskit,51,0,22,462,2500,1.0,1.0
90,38128014-6396-456b-8123-6b6d168ef6dd,Benchmark Results - Phase Estimation - Qiskit,52,0,22,462,2500,1.0,1.0
91,3543fa6c-7de3-4183-8b9f-80af4ca06ea0,Benchmark Results - Phase Estimation - Qiskit,53,0,22,462,2500,1.0,1.0
92,ab5b92ed-a7e9-4f5b-b3cf-47ad7c587fe6,Benchmark Results - Phase Estimation - Qiskit,54,0,23,506,2500,1.0,1.0
93,26bf5261-3d49-41ba-a35e-cf029e8cf3e0,Benchmark Results - Phase Estimation - Qiskit,55,0,23,506,2500,1.0,1.0
94,6f102672-1d51-4920-bbc0-2f761caddb15,Benchmark Results - Phase Estimation - Qiskit,56,0,23,506,2500,0.9932,1.0
95,0d069c49-e320-4322-94fe-859e84a95cda,Benchmark Results - Phase Estimation - Qiskit,57,0,24,552,2500,1.0,1.0
96,477440b3-f2f5-4aad-822a-106a6bd75ec3,Benchmark Results - Phase Estimation - Qiskit,58,0,24,552,2500,1.0,1.0
97,f1327e6c-6f03-4364-923e-1240f8a69859,Benchmark Results - Phase Estimation - Qiskit,59,0,24,552,2500,1.0,1.0
98,fd4c1bf4-121d-4471-bbc7-dad5bb433c29,Benchmark Results - Phase Estimation - Qiskit,60,0,25,600,2500,1.0,1.0
99,cda95315-4802-47a8-8ba7-5002b89c130e,Benchmark Results - Phase Estimation - Qiskit,61,0,25,600,2500,1.0,1.0
100,e6639fe9-d2bf-469d-8892-c0d3430d7f3c,Benchmark Results - Phase Estimation - Qiskit,62,0,25,600,2500,1.0,1.0
101,b4f39f6b-2c3a-4b93-b039-6a66c2d42a92,Benchmark Results - Phase Estimation - Qiskit,63,0,26,650,2500,1.0,1.0
102,0e3f637d-c2f6-4da8-ba27-6567cab5430a,Benchmark Results - Phase Estimation - Qiskit,64,0,26,650,2500,1.0,1.0
103,2ef3e573-482c-4808-911d-ccf7cf758da2,Benchmark Results - Phase Estimation - Qiskit,65,0,27,702,2500,0.9960000000000001,1.0
104,3c2af07f-3712-4822-b6ab-cdc0342954ad,Benchmark Results - Phase Estimation - Qiskit,66,0,27,702,2500,1.0,1.0
105,336a6159-00f7-41cc-8248-cbac0cd10390,Benchmark Results - Phase Estimation - Qiskit,67,0,27,702,2500,1.0,1.0
106,81240b73-a963-42b8-a1fe-1900022f0260,Benchmark Results - Phase Estimation - Qiskit,68,0,28,756,2500,1.0,1.0
107,c29ed297-0281-4c08-a386-0ce1408c1241,Benchmark Results - Phase Estimation - Qiskit,69,0,28,756,2500,1.0,1.0
108,d00f52fa-cb8e-48a3-9c42-1a2aa85fdf18,Benchmark Results - Phase Estimation - Qiskit,70,0,28,756,2500,1.0,1.0
109,eae5ce5b-0d1b-4070-9a16-984122e37031,Benchmark Results - Phase Estimation - Qiskit,71,0,29,812,2500,1.0,1.0
110,6ab95097-1336-42ba-985a-9c5574ce4e61,Benchmark Results - Phase Estimation - Qiskit,72,0,29,812,2500,1.0,1.0
111,ef880505-3d47-4af5-92f4-b2885f11e9dd,Benchmark Results - Phase Estimation - Qiskit,73,0,29,812,2500,1.0,1.0
112,bddc2ea2-e8a6-433e-be58-fbd17b6c2627,Benchmark Results - Phase Estimation - Qiskit,74,0,30,870,2500,1.0,1.0
113,4234f3b3-04b9-4882-9343-a38b8cadd5da,Benchmark Results - Phase Estimation - Qiskit,74,1,30,870,2500,1.0,1.0
114,7bed9093-47ce-4abf-9420-084c4e4e8c52,Benchmark Results - Phase Estimation - Qiskit,75,0,30,870,2500,0.3490603200000002,0.9996
115,c416753f-80fe-4857-b7a3-ca82fed1fb03,Benchmark Results - Phase Estimation - Qiskit,75,1,30,870,2500,0.9996,0.9996
116,5e97724e-fc4b-4b37-843f-b2719dc08eaa,Benchmark Results - Phase Estimation - Qiskit,76,0,30,870,2500,0.34892064000000006,0.9992000000000001
117,9fc884b8-ee9b-43ff-8eac-663c9061cf41,Benchmark Results - Phase Estimation - Qiskit,76,1,30,870,2500,0.9992000000000001,0.9992000000000001
118,e6aeaa1a-c760-4c32-ac24-7601742f82d3,Benchmark Results - Hamiltonian Simulation - Qiskit,0,0,4,27,2500,0.9953956423139222,0.9953956423139222
119,c20c628f-151f-4147-8a4a-72fa5a3f1807,Benchmark Results - Hamiltonian Simulation - Qiskit,1,0,5,36,2500,0.9908520660785052,0.9908520660785052
120,5aa331e3-f193-4b99-9d07-bf35515b1787,Benchmark Results - Hamiltonian Simulation - Qiskit,2,0,6,45,2500,0.9846351821083079,0.9846351821083079
121,1ef5e601-7f35-4e7d-b15b-051240e6da44,Benchmark Results - Hamiltonian Simulation - Qiskit,3,0,7,54,2500,0.9800343652979978,0.9800343652979978
122,98990dac-d1a7-42b2-a79b-29e069c9734e,Benchmark Results - Hamiltonian Simulation - Qiskit,4,0,8,63,2500,0.9772215299054798,0.9772215299054798
123,d3dc0e50-7cce-47d4-a11a-a44102ed6f48,Benchmark Results - Hamiltonian Simulation - Qiskit,5,0,9,72,2500,0.9760093386798294,0.9760093386798294
124,2299285a-0a37-4cba-9e8b-7dd779257a75,Benchmark Results - Hamiltonian Simulation - Qiskit,6,0,10,81,2500,0.972660723847014,0.972660723847014
125,9c612201-647b-472d-950d-5d22ba7354f3,Benchmark Results - Hamiltonian Simulation - Qiskit,7,0,11,90,2500,0.9680422599921765,0.9680422599921765
126,ac38ab5b-3dac-4f8f-92d0-a56030be4a79,Benchmark Results - Hamiltonian Simulation - Qiskit,8,0,12,99,2500,0.9635622630877325,0.9635622630877325
127,60a3f1bc-6936-4dfa-bf7f-e3e2f56e8a30,Benchmark Results - Hamiltonian Simulation - Qiskit,9,0,13,108,2500,0.9623596285555062,0.9623596285555062
128,b37e1888-6a70-41f2-953d-1d9aec0831e4,Benchmark Results - Hamiltonian Simulation - Qiskit,10,0,14,117,2500,0.9595200686690962,0.9595200686690962
129,08f64e02-4dcd-4db6-9e70-6054ddb38f87,Benchmark Results - Hamiltonian Simulation - Qiskit,11,0,15,126,2500,0.9560381398000631,0.9560381398000631
130,9f5c402e-9a36-4b83-808d-38c0ef014ea0,Benchmark Results - Hamiltonian Simulation - Qiskit,12,0,16,135,2500,0.9531095941039032,0.9531095941039032
131,b85dc270-293b-4b91-a34e-b37f297f32f4,Benchmark Results - Hamiltonian Simulation - Qiskit,13,0,17,144,2500,0.9498228466570545,0.9498228466570545
132,394e9536-9f83-4519-b22a-9de1c74417e1,Benchmark Results - Hamiltonian Simulation - Qiskit,14,0,18,153,2500,0.940977902915589,0.940977902915589
