qubit distance,infidelity_pptt
14.0,51.176928511851955
15.0,39.49216520518174
16.0,43.662768322272335
1.0,41.908604623513426
2.0,47.60854924769586
3.0,40.00909924475901
4.0,37.80518692061183
5.0,39.82976931081961
6.0,34.13013015843957
7.0,65.46758590605984
8.0,97.95683759481764
9.0,35.554871280770946
10.0,40.2823792793533
11.0,34.854562640682204
12.0,65.69878378287957
13.0,65.70809374222038
1.0,41.11346108211608
2.0,47.21907248900888
3.0,247.97162555126482
4.0,44.29512629172655
5.0,54.32749235488116
6.0,41.950562114563645
7.0,126.48803611875897
8.0,61.69997459518739
9.0,42.04340732041805
10.0,32.92612942657147
11.0,39.40175537477795
12.0,50.796478221499
8.0,75.77373927605402
9.0,33.20246174087494
10.0,39.18671194854831
11.0,39.527076434971335
12.0,65.58317222330454
13.0,42.82269059434712
16.0,35.48571952704438
17.0,42.23975813715332
18.0,43.73124408973167
19.0,47.23469713804422
20.0,40.53690350203465
21.0,46.396656538925264
22.0,44.781632140690384
23.0,43.603526724280705
24.0,35.64275535826601
25.0,45.02400194363487
26.0,40.17576886298016
27.0,30.35989736748412
1.0,52.5554444824885
28.0,52.323477852710774
29.0,47.94402747062324
2.0,34.46349993991016
3.0,48.09333646554855
4.0,36.62344413153551
5.0,43.65239952074745
6.0,32.11124228653448
7.0,38.56856677889912
1.0,46.00816235923067
2.0,173.0311178762654
3.0,38.89818578377021
4.0,38.96118159733697
5.0,53.29833338719382
6.0,74.67722104116892
7.0,95.95922068266859
8.0,249.86683576818797
9.0,40.7027822441195
10.0,103.65555069454493
11.0,123.44007991282463
1.0,79.80175820307079
2.0,60.46494738577169
3.0,41.28104102720724
4.0,64.7459197182885
5.0,34.977756983498864
6.0,59.77609502316832
7.0,46.25673620200455
8.0,39.75611884094254
9.0,29.1876418704351
10.0,131.99344918115563
1.0,76.59724079324637
2.0,89.14883904060744
3.0,37.548725534835846
4.0,39.7298461373093
5.0,61.449556577666705
6.0,31.520894966425573
7.0,50.27475699883951
8.0,35.49243023486825
9.0,37.328916758199
1.0,67.69267689855447
2.0,70.31567026303553
3.0,43.38467016767275
4.0,45.609947728981304
5.0,48.38736592444423
6.0,41.03681748800732
7.0,86.40196100668463
8.0,54.201772144768505
1.0,64.41462079908838
2.0,86.31753276187307
3.0,167.51798571976306
4.0,349.8573783224874
5.0,49.01362701433027
6.0,218.52306789038647
7.0,132.69304275465598
1.0,152.7080672222445
2.0,47.182190121669294
3.0,142.97797172473147
4.0,37.32243433285376
5.0,34.04916187030633
6.0,101.7734785687922
1.0,580.2271596791395
2.0,37.61397257035809
3.0,32.590172639184615
4.0,37.647569361445306
5.0,88.8914932804265
1.0,68.93146324786416
2.0,37.52050732268275
3.0,145.7391600033662
4.0,44.91364277511363
1.0,55.85668400534049
2.0,41.828703497233406
3.0,63.24573981021285
1.0,45.03195710723351
2.0,102.3021197660414
7.0,42.55811632871837
8.0,57.77532523797408
9.0,43.63833955863309
10.0,48.02422458445588
11.0,43.6266448590808
12.0,46.52008576021216
15.0,38.86255985551794
16.0,36.14257668246501
17.0,34.97606431450594
18.0,65.40885094744996
19.0,86.54674376765126
20.0,81.90764791988289
21.0,54.29697862656365
22.0,39.684246676549634
23.0,54.03657168642773
24.0,60.43140183483254
25.0,79.04248852670129
26.0,44.0099778618755
27.0,49.5415901468903
28.0,39.781244598732705
1.0,58.529526557500674
2.0,45.92276487769608
3.0,37.12220572995007
4.0,57.99788260923644
5.0,138.16728948092037
6.0,43.317382428590726
1.0,80.88849119921964
6.0,461.3947188203564
7.0,81.43883900634363
8.0,98.68079733451307
9.0,40.04230507461182
10.0,86.51220138120641
11.0,34.79950647589636
14.0,57.463931348194606
15.0,49.574393527432036
16.0,39.41253579429471
17.0,170.87843714331598
18.0,240.688217074398
19.0,33.30821107321043
20.0,48.26939384264095
21.0,35.90795703804361
22.0,71.30192860928774
23.0,48.19709458724184
24.0,121.92217157529589
25.0,52.98647769745202
26.0,132.34926775171147
27.0,38.34581725071362
1.0,57.68827778027285
2.0,36.70215108686562
3.0,42.66795895395886
4.0,40.556815772631595
5.0,39.95184332865135
5.0,48.66505750112871
6.0,50.31816614367056
7.0,112.39602902903128
8.0,39.30669006348827
9.0,35.967046567914494
10.0,38.71662173127022
13.0,30.670843947797625
14.0,44.71307958680726
15.0,57.561675698812316
16.0,45.98325229159278
17.0,41.72071508368691
18.0,48.867061206595565
19.0,75.8496887044009
20.0,51.55948632167461
21.0,41.13809382947951
22.0,60.99869830228311
23.0,36.073541784590994
24.0,40.99410165229054
25.0,50.94760569400665
26.0,42.63507945309203
1.0,55.784660378930816
2.0,44.23039320569977
3.0,36.33136134297304
4.0,39.14874426649811
4.0,47.84748129615851
5.0,57.342708263431774
6.0,40.63172625413802
7.0,29.536095686794685
8.0,85.40829960704949
9.0,43.716054343640785
12.0,37.43190837763666
13.0,38.46968412056229
14.0,40.753105529452874
15.0,44.40884219731378
16.0,42.03732359200611
17.0,51.94771151739735
18.0,185.97154827696127
19.0,44.15991791127172
20.0,46.421125456761246
21.0,553.6900612762483
22.0,57.902841096968785
23.0,36.109580962683616
24.0,34.747643518111985
25.0,51.61511661190366
1.0,42.65599867540137
2.0,45.45327117450304
3.0,32.9446417565904
3.0,39.5609339183951
4.0,34.363928941513464
5.0,37.4024741148693
6.0,79.70267308350124
7.0,39.33223315311651
8.0,49.050413530348884
11.0,50.68619793271823
12.0,38.951341695649674
13.0,50.26889881743296
14.0,48.78555220197423
15.0,46.695045522073784
16.0,42.6878166540597
17.0,42.85009088121766
18.0,41.811352251490966
19.0,49.03017467913129
20.0,89.33877307560756
21.0,48.247146932026325
22.0,30.979900539097606
23.0,45.81329628907094
24.0,100.27714427372963
1.0,49.5097032486333
2.0,51.71954229611231
2.0,49.8378327958644
3.0,38.76656216822594
4.0,38.554812030094446
5.0,33.681765325080384
6.0,61.74315677335146
7.0,112.5402112796633
10.0,56.99481931258937
11.0,107.80275247381387
12.0,44.13997941610326
13.0,64.7566005990355
14.0,34.49206361360968
15.0,36.751016017274594
16.0,52.1702307015034
17.0,437.09400618843
18.0,34.7667484699145
19.0,58.46408203275759
20.0,106.02727915242727
21.0,30.269974042871628
22.0,31.755451254624017
23.0,82.21347825259184
1.0,45.14792521207678
1.0,64.66486713355332
2.0,56.78271660140418
3.0,37.52020150057179
4.0,60.19907530923651
5.0,48.85145564063095
6.0,39.5089574069134
9.0,82.6249867990807
10.0,43.533040983325854
11.0,34.56850815135692
12.0,37.57612130986021
13.0,43.61775251980643
14.0,52.39660225698828
15.0,63.15321151295694
16.0,35.03959316276756
17.0,56.388781718807536
18.0,59.06570565655546
19.0,66.41701870462758
20.0,53.16983480115584
21.0,42.48438648327224
22.0,27.789294684835433
